Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
5,14.843826396937276,-4.545129827189336,0.003941724505126082,-438538.3411962588,5.520578817316048e-09,0.005284313890862559,0.005284312549647329,0.0022030230950031192,109.40066562605917,479.5626780462868,396.6946074605714,-7.983581936462363e-08,0.0030812062735797916,0.00308129079585944,4.990446162179927e-07,0.2009238122773856,2.4430820860142894e-08,0.00011264352180549638,5.6337405328000784e-05,5.62970364840555e-05,0.0030812959391303667,5.637666888087326e-05,5.62668529246231e-05,7.80783876242286e-05,7.807838753994781e-05,2543.8418153364837,0.0006820078651042868
10,14.843827942100939,-4.545130217838159,0.011643630974258622,-438538.28216045303,1.167169660963923e-08,0.0215645064937681,0.02156449450354996,0.015401336271130437,109.4006193193484,501.6054921139687,396.6945341836175,-3.193485616618014e-07,0.006162627657079033,0.006163170222637661,2.0153745131288134e-06,0.4060953060973567,2.4432525683628455e-08,0.0002252928410286398,0.0001127301508762284,0.00011255361016740158,0.006163212319112929,0.0001128683305249686,0.00011242451050367119,0.00015616003380659446,0.000156160033722427,71.87422064021358,2.2233804072456596
15,14.843833069837405,-4.545131227005145,0.027285159602818944,-438538.08668918046,3.770069931383226e-08,0.06523469718841819,0.06523450953835491,0.055988042339934194,109.40046565159705,489.33726262399847,396.69429100878915,-7.185550884598408e-07,0.00924449906168292,0.009246654848484002,4.566122028920601e-06,0.6148226557766724,2.443657194647882e-08,0.0003379527294827924,0.00016917477806567872,0.00016876887144488115,0.009246799725121541,0.00016947941025575905,0.0001684733192270333,0.00023424762840293305,0.000234247628317633,61.96075161457015,1.9755724840233833
20,14.843847209943085,-4.545133522490637,0.05847248300497944,-438537.5479975945,9.713278531915615e-08,0.1705288327620691,0.17052717195549127,0.1581963724794885,109.40004191516286,461.5096648790735,396.6936204365407,-1.277488982718941e-06,0.012327172275262468,0.012332460282580579,8.168468618866272e-06,0.8264263543134319,2.4442134788407575e-08,0.00045063216107599577,0.00022567677391830757,0.0002249463071992356,0.012332809515955894,0.00022621655101450958,0.00022441561006148627,0.00031234590567619274,0.0003123459055915399,56.83924957774851,1.801399351723879
25,14.843880413477496,-4.5451383274968284,0.11671405587135082,-438536.263208476,2.1165680035247168e-07,0.3792187520472193,0.3792088947271366,0.3637987369482753,109.39904694207212,437.04037745837707,396.6920458111998,-1.9961990056683917e-06,0.015410778655429551,0.015420015098943961,1.283235624670486e-05,1.0392114834927406,2.4447076051054532e-08,0.0005633385456580715,0.0002822403043314837,0.0002810891613765001,0.015420705543991251,0.0002830845985738362,0.0002802539470842353,0.00039045904933091225,0.00039045904924516216,51.15211536120283,1.7069309368967418
30,14.843946405343273,-4.545147482001716,0.2136199300093269,-438533.655737417,3.927542393347968e-07,0.7162450970293621,0.7162043673027516,0.6977357731823822,109.39706938065522,421.90736250604465,396.6889162508687,-2.8747394870950337e-06,0.01849532024897963,0.018509323846979887,1.8562059737006977e-05,1.2527671074176654,2.4451616362141362e-08,0.0006760745280970318,0.0003388667675695243,0.0003371986805714827,0.01851052773810085,0.00034008525309451925,0.00033598927500251276,0.0004685891481103548,0.0004685891480248031,45.81638235595225,1.651514786487012
35,14.844060421282919,-4.5451633144379135,0.357580152825034,-438529.07662783324,6.42658481866147e-07,1.1848430294693317,1.1847158061328737,1.1632414158820639,109.39365266485817,414.25196987616556,396.6835092244476,-3.91317223770494e-06,0.02158092264300442,0.021601613587267948,2.5363556951794394e-05,1.4680654054846431,2.4457267035978758e-08,0.0007888417002854025,0.00039555719283993694,0.0003932754274593443,0.021603541525265602,0.00039721994965889295,0.00039162175062650966,0.0005467379331659111,0.0005467379330813837,40.90745527443843,1.6209696478735158
40,14.844237348543007,-4.545188434424912,0.5529852798277635,-438521.89623227733,9.565982673875064e-07,1.773490797726616,1.7731686600318655,1.7487920058295177,109.38835054828789,411.2375280211806,396.6751187277076,-5.111576593401724e-06,0.02466790818447549,0.02469879189709856,3.324961205544538e-05,1.6866970590962642,2.4465382508753658e-08,0.0009016444080512113,0.00045231449772380135,0.0004493208302774843,0.024701698426621118,0.0004544924490185362,0.00044715195903267496,0.0006249084914860593,0.0006249084914025639,36.57793358245179,1.6049908399519577
45,14.84449052211703,-4.545225537480321,0.8008054188960557,-438511.55930024403,1.325786058143705e-06,2.4630253758879785,2.4623292960298913,2.4352225228521607,109.38076320876651,410.8383660576267,396.66311236957824,-6.470059237089465e-06,0.027756749172883618,0.027802853035817924,4.2241070649073124e-05,1.9102077470705612,2.4476692869616304e-08,0.0010144910464941017,0.0005091442060112199,0.0005053377603270078,0.027807043432213487,0.0005119096421197024,0.0005025814043743994,0.0007031058176512189,0.0007031058175671721,32.848754719964106,1.5974870816362041
50,14.844831074642874,-4.545277256507341,1.099496404692118,-438497.6108513587,1.7395128188135459e-06,3.2314099602019835,3.2300786036928715,3.2004944145610152,109.37055673594966,411.8386189408714,396.64696220223567,-7.988760057966784e-06,0.030847993890403692,0.03091554564096867,5.236563259763823e-05,2.1397578978880802,2.4491364323302822e-08,0.0011273935090157648,0.0005660540603336454,0.0005613303683712388,0.03092138268779779,0.0005694810852274553,0.0005579124237883096,0.0007813365605878089,0.000781336560495464,29.66821356872291,1.5949207092518989
